20768 TRCID	CASRN	Nist-Mod
21277	36880338	1 1 1 2 2 9 1 20 1 106
10178	57382975	1 1 1 2 2 9 1 22 1 105
5797	7681154	1 1 1 2 2 9 1 37 1 128
15971	0	1 1 1 2 2 9 1 37 1 128
10274	70458967	1 1 1 2 2 9 1 42 1 71 1 78 1 155 1 178 1 188 1 202 1 307
10273	70458923	1 1 1 2 2 9 1 42 1 71 1 78 1 155 1 178 1 189 1 202 1 307
9646	2810040	1 1 1 2 2 9 1 77 1 105
30523	2199431	1 1 1 2 2 9 1 77 1 197
18343	0	1 1 1 2 2 9 2 11 2 12 1 78 1 79
16669	0	1 1 1 2 2 9 3 11 1 12
16725	0	1 1 1 2 2 9 3 11 1 12
7198	121799	1 1 1 2 2 9 3 17 1 128
22763	32902877	1 1 1 2 2 9 3 57 1 157
12508	13402352	1 1 1 2 3 201 1 202
18316	0	1 1 1 2 3 3 4 64
30757	1551322	1 1 1 2 3 78 1 136
11198	7335071	1 1 1 2 3 78 1 190
2240	2146385	1 1 1 2 3 78 1 202
3750	4971180	1 1 1 2 3 78 1 301
3682	4806615	1 1 1 2 3 78 1 79
7001	1484806	1 1 1 2 3 78 1 79 1 188
2700	2808711	1 1 1 2 3 78 1 79 1 201
3253	3742425	1 1 1 2 3 78 1 79 1 201
15908	0	1 1 1 2 3 78 2 79 1 81
27535	106623852	1 1 1 2 3 78 3 79 1 201
27537	106623863	1 1 1 2 3 78 3 79 1 201
7938	2785877	1 1 1 2 3 9 1 10 1 12 1 17 1 24
13535	58539278	1 1 1 2 3 9 1 10 1 12 1 17 1 24
18004	94669962	1 1 1 2 3 9 1 10 1 13 2 24 1 25 1 57
1953	18625122	1 1 1 2 3 9 1 10 1 22 1 25 2 53
13057	18441560	1 1 1 2 3 9 1 11 1 12 1 17
14714	30388400	1 1 1 2 3 9 1 11 1 12 1 17
14813	36186966	1 1 1 2 3 9 1 11 1 12 1 17
15211	66142787	1 1 1 2 3 9 1 11 1 12 1 17
22210	313064	1 1 1 2 3 9 1 12 1 13 1 17 1 22 9 78 4 79 1 80
236	100710	1 1 1 2 3 9 1 38
2538	2524529	1 1 1 2 3 9 1 38 1 77
24898	31356293	1 1 1 2 3 9 1 42 2 57 1 158
16573	0	1 1 1 2 3 9 2 10 2 11 1 77 1 306
11405	17059459	1 1 1 2 3 9 2 11 1 12
11704	3042500	1 1 1 2 3 9 2 11 1 12
11816	3982669	1 1 1 2 3 9 2 11 1 12
12183	61827858	1 1 1 2 3 9 2 11 1 12
12510	3982647	1 1 1 2 3 9 2 11 1 12
30690	17059448	1 1 1 2 3 9 2 11 1 12
9840	13059842	1 1 1 2 3 9 2 57 1 157
10251	67263234	1 1 1 2 3 9 2 57 1 157
11858	42775779	1 1 1 2 3 9 3 12 2 78
4135	5470020	1 1 1 2 4 78 1 190
1409	1453243	1 1 1 2 4 78 1 202
3530	4423943	1 1 1 2 4 78 1 301
1690	1640897	1 1 1 2 4 78 1 79
3583	4534741	1 1 1 2 4 78 2 79 1 81
8410	19781625	1 1 1 2 4 78 2 79 1 81
8548	19781614	1 1 1 2 4 78 2 79 1 81
8592	3274962	1 1 1 2 4 78 2 79 1 81
8625	4276431	1 1 1 2 4 78 2 79 1 81
18815	4534763	1 1 1 2 4 78 2 79 1 81
27230	113349192	1 1 1 2 4 78 2 79 1 81
27231	81570083	1 1 1 2 4 78 2 79 1 81
12712	2146410	1 1 1 2 4 78 3 79
1784	17059506	1 1 1 2 4 9 1 10 1 12 1 202
14574	2294919	1 1 1 2 4 9 1 10 1 12 1 202
7351	588932	1 1 1 2 4 9 1 10 1 12 1 64
16469	0	1 1 1 2 4 9 1 10 1 12 1 64
21852	19614143	1 1 1 2 4 9 1 10 1 12 1 64
13811	6953668	1 1 1 2 4 9 1 10 1 13 1 201
18018	94670243	1 1 1 2 4 9 1 10 1 13 1 24 1 25 1 44
18014	94670209	1 1 1 2 4 9 1 10 1 13 2 24 1 25
6658	16533509	1 1 1 2 4 9 1 10 1 17 1 25
23002	0	1 1 1 2 4 9 1 10 1 22 1 24 1 178
23003	0	1 1 1 2 4 9 1 10 1 22 1 24 1 178
25345	27203925	1 1 1 2 4 9 1 10 1 24 1 34 4 78 1 79 1 82 1 195
4097	5438197	1 1 1 2 4 9 1 10 1 25 1 124
3966	5323502	1 1 1 2 4 9 1 10 1 87 1 178
32010	90844307	1 1 1 2 4 9 1 105 1 106
527	1074175	1 1 1 2 4 9 1 11 1 12
529	1074437	1 1 1 2 4 9 1 11 1 12
530	1074551	1 1 1 2 4 9 1 11 1 12
11987	54837900	1 1 1 2 4 9 1 11 1 157
30	2438053	1 1 1 2 4 9 1 12 1 124
16470	0	1 1 1 2 4 9 1 12 1 124
12829	4830993	1 1 1 2 4 9 1 12 1 13 1 78
1257	13556586	1 1 1 2 4 9 1 12 1 13 2 78
4880	621272	1 1 1 2 4 9 1 12 1 17
5250	644359	1 1 1 2 4 9 1 12 1 17
8123	645567	1 1 1 2 4 9 1 12 1 17
31824	840971	1 1 1 2 4 9 1 12 1 17 1 18 1 33 1 77
2646	2696846	1 1 1 2 4 9 1 12 1 36
18010	94670049	1 1 1 2 4 9 1 13 1 24 1 25 1 153
19833	94670185	1 1 1 2 4 9 1 13 1 25 1 44 1 153
23069	0	1 1 1 2 4 9 1 13 2 25 1 57 1 79
23070	0	1 1 1 2 4 9 1 13 2 25 1 57 1 79
