253	q	EOK(K)	 b(cc/	k10	k11	KadNm3	eDon	eAcc	nDegree	#eDs	#eAs	idCas	Name
1002	2.802	263.82	21.1	-0.7	2	0.0007	730	0	1	1	0	75070	ACETALDEHYDE(~C3al,NoAs)
1003	2.866	282.45	25.12	-0.7	2	0.0007	730	0	1	1	0	123386	PROPANAL(MeOHvl)
1005	2.906	298.45	30.69	-0.7	2	0.0007	730	0	1	1	0	123728	BUTANAL(~C3al,NoAs)
1041	3.168	373.59	36.95	-0.7	2	0.0007	730	0	1	1	0	100527	BENZALDEHYDE(~C3al,NoAs)
1051	3.115	275.53	26.74	-0.7	2	0.001	910	0	1	1	0	67641	ACETONE(CHCL3)
1052	3.281	284.56	31.64	-0.7	2	0.0002	910	0	1	1	0	78933	MEK(CHCL3)
1054	3.456	299.17	42.55	-0.7	2	0.00052	910	0	1	1	0	108101	MIBK(CHCL3)
1060	3.433	292.88	36.84	-0.7	2	0.00029	910	0	1	1	0	107879	2-pentanone(MeOH)
1063	3.985	302.12	48.76	-0.7	2	0.0007	910	0	1	1	0	110430	2-heptanone(MeOH)
1071	3.6198	369.23	38.27	-0.7	2	0.0008	900	0	1	1	1	872504	NMP(pXylene;eD<0if111TCE,12DCE;eA<0ifMEK)
1080	3.104	354.7	40.47	-0.7	2	0.0007	380	0	1	1	0	108941	cyclohexanone(111TCE)
1090	3.6897	360.53	42.24	-0.7	2	0.0007	1610	0	1	1	0	98862	acetophenone(IPAvl)
1093	4.162	375.4	38.69	-0.7	2	0.0007	900	0	1	1	0	502443	e-caprolactone(~ester,NoAs)
1101	1.0373	222.19	31.456	-0.7	2	0.001	1280	3960	1	1	1	67561	METHANOL                      
1070	3.2574	284.58	46.177	-0.7	2	0.0008	1750	100	1	1	1	616455	2-PYRROLIDONE                 
1102	1.4701	201.98	38.719	-0.7	2	0.001	1320	3920	1	1	1	64175	ETHANOL                       
1103	1.8597	218.36	46.189	-0.7	2	0.0004	1280	3960	1	1	1	71238	1-PROPANOL                    
1104	1.8098	205.49	48.059	-0.7	2	0.0004	1280	3960	1	1	1	67630	ISOPROPANOL                   
1105	2.0887	223.95	54.188	-0.7	2	0.0004	1280	3960	1	1	1	71363	1-BUTANOL                     
1106	2.0204	220.72	54.716	-0.7	2	0.00035	1280	3960	1	1	1	78831	2-METHYL-1-PROPANOL           
1107	2.0422	217.07	54.363	-0.7	2	0.00025	1280	3960	1	1	1	78922	2-BUTANOL                     
1108	1.7646	212.74	57.278	-0.7	2	0.0003	1280	3960	1	1	1	75650	2-METHYL-2-PROPANOL           
1109	2.253	228.6	62.405	-0.7	2	0.0005	1280	3960	1	1	1	71410	1-PENTANOL                    
1110	2.0282	227.19	64.694	-0.7	2	0.0004	1280	3960	1	1	1	6032297	2-PENTANOL                    
1111	1.466	250.69	68.798	-0.7	2	0.0004	1280	3960	1	1	1	75854	2-METHYL-2-BUTANOL            
1112	2.3543	221.72	59.255	-0.7	2	0.00035	1280	3960	1	1	1	137326	2-METHYL-1-BUTANOL            
1113	1.5972	230.27	63.529	-0.7	2	0.001	1280	3960	1	1	1	75843	22-DIMETHYL-1-PROPANOL        
1114	2.4891	231.15	70.658	-0.7	2	0.00053	1280	3960	1	1	1	111273	1-HEXANOL                     
1115	2.4002	224.84	71.075	-0.7	2	0.0004	1280	3960	1	1	1	626937	2-HEXANOL                     
1116	2.0357	238.16	73.263	-0.7	2	0.0004	1280	3960	1	1	1	623370	3-HEXANOL                     
1117	1.7094	257.07	79.506	-0.7	2	0.001	1280	3960	1	1	1	105306	2-METHYL-1-PENTANOL           
1118	2.8402	205.62	67.117	-0.7	2	0.001	1280	3960	1	1	1	589355	3-METHYL-1-PENTANOL           
1119	1.1097	292.3	83.878	-0.7	2	0.001	1280	3960	1	1	1	77747	3-METHYL-3-PENTANOL           
1120	1.8174	236.81	66.384	-0.7	2	0.0004	1280	3960	1	1	1	584021	3-PENTANOL                    
1121	2.4039	244	93.92	-0.7	2	0.001	1280	3960	1	1	1	104767	2-ETHYL-1-HEXANOL             
1122	3.2281	201.41	72.74	-0.7	2	0.001	1280	3960	1	1	1	624226	2-METHYL-1-HEXANOL            
1123	1.8913	229.92	65.253	-0.7	2	0.001	1280	3960	1	1	1	123513	3-METHYL-1-BUTANOL            
1124	1.8443	233.09	63.195	-0.7	2	0.0004	1280	3960	1	1	1	598754	3-METHYL-2-BUTANOL            
1125	2.7651	231.82	78.557	-0.7	2	0.00055	1280	3960	1	1	1	111706	1-HEPTANOL                    
1126	2.7141	225.16	77.971	-0.7	2	0.0004	1280	3960	1	1	1	543497	2-HEPTANOL                    
1127	1.9464	245.84	85.799	-0.7	2	0.001	1280	3960	1	1	1	589822	3-HEPTANOL                    
1129	3.1185	207.79	74.745	-0.7	2	0.001	1280	3960	1	1	1	627985	5-METHYL-1-HEXANOL            
1130	2.2372	225.53	68.24	-0.7	2	0.0004	1280	3960	1	1	1	108112	4-METHYL-2-PENTANOL           
1132	3.0025	233.71	87.079	-0.7	2	0.00055	1280	3960	1	1	1	111875	1-OCTANOL                     
1133	3.1095	223.54	83.965	-0.7	2	0.0004	1280	3960	1	1	1	123966	2-OCTANOL                     
1134	3.3685	232.39	94.607	-0.7	2	0.00053	1280	3960	1	1	1	143088	1-NONANOL                     
1135	3.299	226.82	91.592	-0.7	2	0.0004	1280	3960	1	1	1	628999	2-NONANOL                     
1136	3.5409	235.15	104.206	-0.7	2	0.00053	1280	3960	1	1	1	112301	1-DECANOL                     
1137	3.7977	235.85	113.192	-0.7	2	0.00053	1280	3960	1	1	1	112425	1-UNDECANOL                   
1139	3.0617	239.65	104.859	-0.7	2	0.001	1280	3960	1	1	1	55505265	8-METHYL-1-NONANOL            
1140	4.1491	234.83	121.397	-0.7	2	0.00053	1280	3960	1	1	1	112538	1-DODECANOL                   
1141	4.433	235.03	130.354	-0.7	2	0.00053	1280	3960	1	1	1	112709	1-TRIDECANOL                  
1142	3.9996	246.66	147.806	-0.7	2	0.00053	1280	3960	1	1	1	112721	1-TETRADECANOL                
1143	5.2735	232.13	145.879	-0.7	2	0.00053	1280	3960	1	1	1	629765	1-PENTADECANOL                
1144	5.2674	235.78	158.218	-0.7	2	0.00053	1280	3960	1	1	1	36653824	1-HEXADECANOL                 
1145	6.4109	227.74	158.885	-0.7	2	0.00053	1280	3960	1	1	1	1454859	1-HEPTADECANOL                
1146	5.7909	236.52	177.726	-0.7	2	0.00053	1280	3960	1	1	1	112925	1-OCTADECANOL                 
1147	2.2963	222.28	69.645	-0.7	2	0.001	1280	3960	1	1	1	97950	2-ETHYL-1-BUTANOL             
1148	7.0098	231.44	189.776	-0.7	2	0.00053	1280	3960	1	1	1	629969	1-EICOSANOL                   
1149	4.2854	259.66	212.689	-0.7	2	0.00053	1280	3960	1	1	1	1454848	1-NONADECANOL                 
1151	1.9304	275.14	64.756	-0.7	2	0.0004	2516	2516	1	1	1	108930	CYCLOHEXANOL                  
1153	2.754	218.24	63.408	-0.7	2	0.001	1280	3960	1	1	1	7443701	cis-2-METHYLCYCLOHEXANOL      
1155	2.9482	218.14	62.977	-0.7	2	0.001	1280	3960	1	1	1	5454795	cis-3-METHYLCYCLOHEXANOL      
1156	2.9215	219.64	63.355	-0.7	2	0.001	1280	3960	1	1	1	7443552	trans-3-METHYLCYCLOHEXANOL    
1157	2.8504	219.26	63.421	-0.7	2	0.001	1280	3960	1	1	1	7731284	cis-4-METHYLCYCLOHEXANOL      
1158	3.1214	212.93	61.488	-0.7	2	0.001	1280	3960	1	1	1	7731295	trans-4-METHYLCYCLOHEXANOL    
1159	3.708	218	84.776	-0.7	2	0.001	1280	3960	1	1	1	2216515	L-MENTHOL                     
1160	7.6253	268.09	223.28	-0.7	2	0.001	1280	3960	1	1	1	83465	SITOSTEROL                    
1162	3.4738	228.38	81.652	-0.7	2	0.001	1280	3960	1	1	1	98555	alpha-TERPINEOL               
1163	3.3775	226.5	79.707	-0.7	2	0.001	1280	3960	1	1	1	138874	beta-TERPINEOL                
1164	6.6917	195.4	104.041	-0.7	2	0.001	1280	3960	1	1	1	51655573	2-BUTYL-NONAN-1-OL            
1165	6.1741	194.05	98.073	-0.7	2	0.001	1280	3960	1	1	1	10522266	2-METHYL-1-UNDECANOL          
