   13  501 1051  118 BENZENE ACETONE Mueller E., Stage H. (1961) Dargestellt am Beispiel des Siedeverhaltens von Fettsäuren, 1-117, 1961 
  323.15   .01032   .22430   .28250
  323.15   .01054   .29200   .35700
  323.15   .01070   .33980   .40820
  323.15   .01091   .40400   .47450
  323.15   .01106   .45620   .52610
  323.15   .01118   .49410   .56270
  323.15   .01123   .51040   .57820
  323.15   .01128   .52840   .59480
  323.15   .01135   .55180   .61640
  323.15   .01142   .57570   .63800
  323.15   .01146   .59230   .65290
  323.15   .01152   .61290   .67080
  323.15   .01159   .64220   .69620
  323.15   .01164   .66190   .71310
  323.15   .01170   .68480   .73230
  323.15   .01175   .70550   .74920
  323.15   .01182   .73420   .77300
  323.15   .01191   .77660   .80850
  323.15   .01199   .81340   .83890
  323.15   .01206   .85250   .87210
  323.15   .01212   .87950   .89490
  323.15   .01215   .90120   .91320
  323.15   .01230  1.00000  1.00000
   27  502 1060  135 TOLUENE 2-PENTANONE PENA M.D.,COLIN A.C.,COMPOSITZO A., J.CHEM.THERMODYN.10,337(1978).
  323.15   .01558   .00000   .00000
  323.15   .01539   .10590   .09550
  323.15   .01526   .17130   .15250
  323.15   .01508   .24650   .21830
  323.15   .01495   .29980   .26590
  323.15   .01481   .35010   .31100
  323.15   .01468   .40290   .35880
  323.15   .01455   .44950   .40190
  323.15   .01446   .47840   .42870
  323.15   .01436   .51650   .46350
  323.15   .01425   .55360   .49780
  323.15   .01414   .58600   .52780
  323.15   .01405   .61320   .55390
  323.15   .01398   .63840   .57730
  323.15   .01388   .66500   .60280
  323.15   .01379   .69110   .62850
  323.15   .01370   .71220   .64970
  323.15   .01360   .73840   .67710
  323.15   .01352   .76110   .70040
  323.15   .01338   .79260   .73450
  323.15   .01325   .82000   .76470
  323.15   .01314   .84390   .79250
  323.15   .01304   .86570   .81820
  323.15   .01285   .90490   .86680
  323.15   .01268   .93940   .91140
  323.15   .01243   .97800   .96630
  323.15   .01230  1.00000  1.00000
    9  501 1052  129 BENZENE 2-BUTANONE RAO V.N.K.,SWAMI D.R.,RAO M.N., J.SCI.INDUSTR.RES.16B,195(1957).
  390.45   .30811   .10000   .10900
  389.95   .30811   .20000   .21200
  389.75   .30811   .30000   .30800
  389.65   .30811   .40000   .40200
  389.75   .30811   .50000   .49500
  389.85   .30811   .60000   .59000
