IdDippr	T(K)	P(Mpa)	rho(g/cm3)	D(cm2/s)
1	221.9	16.5957836	0.2572	0.000402411	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	221.9	23.4285304	0.2896	0.000335635	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	221.9	31.4196036	0.3131	0.000288726	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	173.4	1.3720652	0.01797	0.004874791	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	173.4	1.6616468	0.02265	0.003818985	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	173.4	2.0615452	0.03041	0.002913515	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	173.4	2.3511268	0.03717	0.002407856	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	173.4	2.5372864	0.04244	0.002122997	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	173.4	2.8061836	0.3021	0.000250579	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	173.4	10.0939872	0.3355	0.000196125	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	173.4	27.2896184	0.3704	0.000156048	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	154.5	0.9721668	0.014286	0.005760885	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	154.5	1.20659	0.018704	0.004271814	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	154.5	1.4892768	0.3511	0.00016548	Dawson, R.et al. Aiche Journal, Vol 16, 1970
1	154.5	23.856008	0.3894	0.000119414	Dawson, R.et al. Aiche Journal, Vol 16, 1970
2	303.3	30	0.44072	0.000186	Helbaek et al, J.Chem.Eng.Data, 1996
2	303.3	40	0.45838	0.000167	Helbaek et al, J.Chem.Eng.Data, 1996
2	303.3	50	0.4725	0.000152	Helbaek et al, J.Chem.Eng.Data, 1996
2	333.1	30	0.40543	0.00025	Helbaek et al, J.Chem.Eng.Data, 1996
2	333.1	40	0.42816	0.00021	Helbaek et al, J.Chem.Eng.Data, 1996
2	333.1	50	0.44545	0.000192	Helbaek et al, J.Chem.Eng.Data, 1996
2	136	25	0.61393	0.0000166	Greiner, Schmid, JCP 94,1991
2	136	50	0.6249	0.0000142	Greiner, Schmid, JCP 94,1991
2	136	100	0.64326	0.0000109	Greiner, Schmid, JCP 94,1991
2	136	150	0.65852	0.0000087	Greiner, Schmid, JCP 94,1991
2	136	200	0.67174	0.000007	Greiner, Schmid, JCP 94,1991
2	150	25	0.5998	0.0000248	Greiner, Schmid, JCP 94,1991
2	150	50	0.612	0.0000206	Greiner, Schmid, JCP 94,1991
2	150	100	0.632	0.000016	Greiner, Schmid, JCP 94,1991
2	150	150	0.64836	0.0000138	Greiner, Schmid, JCP 94,1991
2	150	200	0.66239	0.0000103	Greiner, Schmid, JCP 94,1991
2	168	25	0.58151	0.0000343	Greiner, Schmid, JCP 94,1991
2	168	50	0.59551	0.0000297	Greiner, Schmid, JCP 94,1991
2	168	100	0.61781	0.0000229	Greiner, Schmid, JCP 94,1991
2	168	150	0.63562	0.0000187	Greiner, Schmid, JCP 94,1991
