1974 Chem_Info_ChemID	Min_T	Min_Val	Max_T	Max_Val	Avg_Dev	Num_Coeffs	A	B	C	D	E	Max_Dev	Max_Dev_T	Value
61	178.3500061	0.00037003	659	3119400	2.059999943	5	61.814	-7291.3	-5.5624	3.7524E-18	6	8.239999771	333.1499939	CYCLOHEXANE, (2-METHYLPROPYL)
62	231.9799957	1.1043	659	2660800	0.360000014	5	68.56	-7597.2	-6.5567	3.9098E-18	6	1.120000005	293.1499939	CYCLOHEXANE, (1,1-DIMETHYLETHYL)-
63	247.5700073	0.40836	639	1949300	0.100000001	5	131	-11143	-15.855	8.1871E-06	2	0.300000012	437	UNDECANE
64	263.5700073	0.61534	658	1822300	0.5	5	137.47	-11976	-16.698	8.0906E-06	2	4.599999905	294	DODECANE
65	267.7600098	0.25096	675	1678600	0.699999988	5	137.45	-12549	-16.543	7.1275E-06	2	7.400000095	338	TRIDECANE
66	279.0100098	0.25268	693	1569300	0.600000024	5	140.47	-13231	-16.859	6.5877E-06	2	3.799999952	342	TETRADECANE
67	283.0700073	0.12884	708	1474300	1	5	135.57	-13478	-16.022	5.6136E-06	2	9	353	PENTADECANE
68	291.3099976	0.092265	723	1410600	1.100000024	5	156.06	-15015	-18.941	6.8172E-06	2	6	421	HEXADECANE
69	295.1300049	0.046534	736	1343800	1.299999952	5	156.95	-15557	-18.966	6.4559E-06	2	4.800000191	434	HEPTADECANE
70	301.3099976	0.033909	747	1255500	1.700000048	5	157.68	-16093	-18.954	5.9272E-06	2	7.800000191	357	OCTADECANE
71	305.0400085	0.015909	758	1207800	1.5	5	182.54	-17897	-22.498	7.4008E-06	2	4.699999809	413	NONADECANE
72	225	0.89946	602	2160600	0.899999976	5	66.221	-7366.7	-6.2013	6.1322E-18	6	9.699999809	335	OCTANE, 2,2-DIMETHYL-
73	309.5799866	0.0092574	768	1174600	1.200000048	5	203.66	-19441	-25.525	8.8382E-06	2	4.900000095	488	EICOSANE
74	313.3500061	0.0062153	778	1107200	1.299999952	5	140.79	-17129	-15.87	3.5456E-18	6	9.300000191	488	HENEICOSANE
