24227 TRCID	CASRN	Nist-Kt
449	106478	4 15 1 79 1 109
450	106489	4 15 1 37 1 109
451	106490	4 15 1 18 1 79
452	106503	4 15 2 79
453	106514	2 30 2 47
454	106525	1 1 4 27 1 28 1 84 1 204
455	106581	2 1 4 27 2 84
456	106627	2 1 1 2 1 3 1 40 1 204
457	106638	2 1 1 2 1 3 1 5 1 58
458	106661	2 1 4 2 2 74
459	106672	3 1 3 2 2 3 1 34
460	106683	2 1 4 2 1 43
461	106694	5 2 1 3 2 34 1 204
462	106707	2 1 3 2 1 52
463	1067089	4 1 3 2 1 4
464	1067205	4 1 4 2 1 4
465	106730	2 1 4 2 1 52
466	106741	1 1 2 2 1 5 1 58 1 60
467	106796	2 1 6 2 2 52
468	1068195	4 1 4 2 1 4
469	1068877	5 1 1 2 3 3
470	106898	1 99 1 188
471	106912	1 1 1 2 1 7 1 58 1 188
472	106934	2 2 2 130
473	106945	1 1 2 2 1 130
474	1069530	5 1 1 2 3 3
475	106956	1 2 1 5 1 130
476	106967	1 2 1 13 1 130
477	106978	2 1 2 2
478	106989	1 1 1 2 1 5
479	106990	2 5
480	1070015	3 1 26 2 1 75
481	107006	1 1 1 2 1 13
482	107028	1 5 1 48
483	107039	1 1 1 2 1 139
484	107040	1 2 1 99 1 130
485	107051	1 5 1 99
486	107062	2 99
487	1070662	1 1 3 2 1 7 1 48
488	107073	1 2 1 34 1 99
490	1070786	1 2 1 99 1 106
491	1070833	3 1 1 2 1 4 1 94
492	107084	1 1 2 2 1 128
493	1070877	6 1 1 2 2 4
494	107108	1 1 1 2 1 67
495	107119	1 5 1 67
496	107120	1 1 1 86
497	1071267	4 1 4 2 1 4
498	107131	1 90
499	1071314	6 1 4 2 2 4
500	107142	1 86 1 110
501	107153	2 67
502	1071814	6 1 2 2 2 4
503	107197	1 2 1 13 1 34
504	1071983	1 14 2 91
505	107200	1 48 1 99
506	1072055	4 1 3 2 2 3
507	1072168	4 1 4 2 2 3
508	107222	2 48
509	1072431	1 1 1 28 1 143
510	1072475	1 1 1 27 1 28 1 63 1 64
511	1072599	3 27 1 32 1 59
512	1072624	1 1 1 2 1 30 1 83 1 93
514	1072704	1 1 1 28 1 64 1 168
515	1072726	3 27 1 47 1 143
516	1072839	1 30 1 32 1 42 1 83
517	1072851	4 15 1 118 1 131
518	1072919	3 1 1 32 1 84 1 93
519	107302	1 59 1 99
520	1073069	4 15 1 118 1 131
521	107313	1 1 1 55
524	1073672	4 15 1 22 1 109
525	107391	4 1 1 2 1 4 1 7
526	107404	5 1 1 4 1 8
527	1074175	1 1 1 2 4 15 1 18 1 19
529	1074437	1 1 1 2 4 15 1 18 1 19
530	1074551	1 1 1 2 4 15 1 18 1 19
531	1074926	3 1 4 15 1 18 1 21
533	1075167	4 15 2 16 5 27
534	1075383	3 1 4 15 1 18 1 21
535	107540	3 1 1 2 1 3 1 4 1 13 1 205
536	1075769	1 2 5 15 1 80 1 86
537	107619	3 27 1 63 1 155
539	1076886	2 15 3 18 1 96
540	1077163	1 1 4 2 5 15 1 19
541	107802	1 1 2 2 1 3 2 130
542	1078042	2 1 1 4 2 15 2 16 2 18 2 27
543	107813	2 1 2 2 1 3 1 130
544	107824	2 1 2 2 1 3 1 130
545	1078280	1 1 5 15 2 17 1 18 1 65 1 82
546	107835	3 1 2 2 1 3
547	107846	2 1 1 2 1 3 1 99
548	107857	2 1 1 2 1 3 1 67
549	1078713	1 1 5 2 5 15 1 19
550	107879	1 1 2 2 1 42
551	107891	1 1 1 2 1 3 1 48 1 204
552	107915	1 86 1 169
553	107926	1 1 2 2 1 94
554	1079330	3 15 1 65 1 149 1 166
555	107937	1 1 1 6 1 94
556	107948	1 2 1 94 1 99
557	107959	1 2 1 67 1 94
558	107960	1 2 1 94 1 139
559	107971	1 2 1 71 1 94
560	1079716	2 15 4 16 8 27
561	108010	1 1 2 2 1 34 1 74
562	108032	1 1 1 2 1 133
563	108054	1 5 1 51
564	108087	4 1 1 2 2 3
565	108098	3 1 1 2 1 3 1 68
566	108101	2 1 1 2 1 3 1 42
567	108112	3 1 1 2 2 3 1 204
568	108134	1 2 2 169
569	1081750	1 2 10 15 2 19
570	1081772	1 1 7 2 5 15 1 19
571	108189	4 1 1 3 1 73
572	108190	1 169 1 180
573	108203	4 1 1 3 1 61
574	108214	2 1 1 3 1 51
575	108225	1 1 1 7 1 51
576	108247	2 1 1 97
577	108292	1 1 2 27 1 28 1 47 1 64
578	108305	2 27 1 97
579	108327	1 1 1 27 1 28 1 98
580	1083563	2 2 10 15 2 19
581	108361	4 15 2 131
582	108372	4 15 1 109 1 131
583	108383	4 15 2 18
584	108394	4 15 1 18 1 37
