765 ID	TcEos 	PcEos	ZcEos 	AcenEos
1610	416.12	3.408	0.3045	0.3247
1611	496.87	3.833	0.3100	0.2216
1612	407.22	5.163	0.3099	0.2082
1613	324.62	6.775	0.2958	0.1716
1614	356.98	6.510	0.2862	0.2638
1615	308.46	5.907	0.3100	0.2189
1616	229.89	3.971	0.3113	0.1638
1617	382.42	5.640	0.3003	0.1916
1619	350.23	4.100	0.2928	0.2466
1620	405.40	3.644	0.3063	0.3474
1622	391.48	2.581	0.3077	0.3557
1630	310.83	4.484	0.3100	0.2221
1634	418.72	5.764	0.3095	0.1910
1640	393.33	5.112	0.2962	0.2555
1641	468.42	7.422	0.3071	0.1448
1645	509.87	6.018	0.3081	0.1827
1646	345.13	4.098	0.3076	0.2824
1650	552.49	5.229	0.3088	0.2028
1651	532.44	4.875	0.3089	0.1934
1655	590.42	4.698	0.3093	0.2331
1667	667.39	3.442	0.3071	0.3737
1672	598.30	5.569	0.3077	0.2993
1680	688.02	5.316	0.3101	0.2170
1681	540.88	7.556	0.3123	0.1159
1682	574.79	6.094	0.3110	0.1409
1683	611.11	5.311	0.3106	0.1675
1684	587.37	5.041	0.3107	0.1687
1693	424.60	3.641	0.3098	0.2352
1694	465.99	4.220	0.3093	0.2588
1696	459.05	5.816	0.3104	0.1921
1701	445.97	9.584	0.3175	0.2377
1702	450.68	6.353	0.3141	0.2452
1703	440.35	4.598	0.3107	0.1878
1704	466.33	6.579	0.3115	0.2545
1706	544.06	3.437	0.3087	0.2977
1709	522.16	3.812	0.3097	0.2399
1710	520.15	5.053	0.3296	0.2357
1711	509.91	5.639	0.3132	0.2445
1712	557.79	5.205	0.3175	0.2143
1713	579.16	4.765	0.3343	0.3300
1714	533.56	5.040	0.3208	0.2724
1718	586.44	2.784	0.3151	0.4639
1719	481.44	5.247	0.3125	0.2526
1720	766.75	2.315	0.3240	0.6403
1721	662.91	8.367	0.3188	0.2485
1724	747.21	4.747	0.2901	0.8983
1736	739.19	5.468	0.3098	0.3078
